occupation_title;occupation_code;soc_major_code;occupation_group;employment_2024;employment_2034;emp_change_pct;median_wage_2024;education_required;education_level;automation_risk_score;ai_risk_category;collar_type;growth_category;PosEmpChange
"Occupational health and safety technicians";19-5012;19;"Life, physical, and social science occupations";31.9;34.6;8.5;58440;"High school diploma or equivalent";2;7;High;"White-collar";"Growing";"TRUE"
"Educational, guidance, and career counselors and advisors";21-1012;21;"Community and social service occupations";376.3;389.6;3.5;65140;"Master's degree";7;5;Medium;"White-collar";Stable;"TRUE"
"Marriage and family therapists";21-1013;21;"Community and social service occupations";77.8;87.7;12.6;63780;"Master's degree";7;5;Medium;"White-collar";"Growing";"TRUE"
"Rehabilitation counselors";21-1015;21;"Community and social service occupations";91.9;93.2;1.4;46110;"Master's degree";7;5;Medium;"White-collar";Stable;"TRUE"
"Substance abuse, behavioral disorder, and mental health counselors";21-1018;21;"Community and social service occupations";483.5;564.6;16.8;59190;"Master's degree";7;5;Medium;"White-collar";"Growing";"TRUE"
"Counselors, all other";21-1019;21;"Community and social service occupations";69.1;77.8;12.6;49830;"Master's degree";7;5;Medium;"White-collar";"Growing";"TRUE"
"Child, family, and school social workers";21-1021;21;"Community and social service occupations";399.9;413.3;3.4;58570;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Healthcare social workers";21-1022;21;"Community and social service occupations";193.2;208.1;7.7;68090;"Master's degree";7;5;Medium;"White-collar";"Growing";"TRUE"
"Mental health and substance abuse social workers";21-1023;21;"Community and social service occupations";136.8;150.1;9.7;60060;"Master's degree";7;5;Medium;"White-collar";"Growing";"TRUE"
"Social workers, all other";21-1029;21;"Community and social service occupations";81;84.1;3.9;69480;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Health education specialists";21-1091;21;"Community and social service occupations";71.8;75;4.5;63000;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Probation officers and correctional treatment specialists";21-1092;21;"Community and social service occupations";92.3;94.8;2.6;64520;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Social and human service assistants";21-1093;21;"Community and social service occupations";449.6;478.5;6.4;45120;"High school diploma or equivalent";2;5;Medium;"White-collar";"Growing";"TRUE"
"Community health workers";21-1094;21;"Community and social service occupations";65.1;72.5;11.3;51030;"High school diploma or equivalent";2;5;Medium;"White-collar";"Growing";"TRUE"
"Community and social service specialists, all other";21-1099;21;"Community and social service occupations";119.2;124.7;4.6;54940;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Clergy";21-2011;21;"Community and social service occupations";262;264.6;1;60820;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Directors, religious activities and education";21-2021;21;"Community and social service occupations";138.9;141.8;2.1;54840;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
"Religious workers, all other";21-2099;21;"Community and social service occupations";88.4;89;0.6;45120;"Bachelor's degree";6;5;Medium;"White-collar";Stable;"TRUE"
